trimestre,sentimiento_textblob,fecha,pib
2018-01-01,0.0704794245283748,2018-01-01,20044.077
2018-04-01,0.07560980749500676,2018-04-01,20150.476
2018-07-01,0.07514638357749981,2018-07-01,20276.154
2018-10-01,0.0865255505228727,2018-10-01,20304.874
2019-01-01,0.0680681235854816,2019-01-01,20431.641
2019-04-01,0.0770837851712753,2019-04-01,20602.275
2019-07-01,0.08228863812388465,2019-07-01,20843.322
2019-10-01,0.0708558504604084,2019-10-01,20985.448
2020-01-01,0.06430261998503335,2020-01-01,20693.238
2020-04-01,0.09220442327511019,2020-04-01,19056.617
2020-07-01,0.10207708751702944,2020-07-01,20548.793
2020-10-01,0.0909906917846367,2020-10-01,20771.691
2021-01-01,0.0858254316481426,2021-01-01,21058.379
2021-04-01,0.08220901142399081,2021-04-01,21389.005
2021-07-01,0.08749769813681241,2021-07-01,21571.421
2021-10-01,0.0885781999844631,2021-10-01,21960.388
2022-01-01,0.09566247050228595,2022-01-01,21903.85
2022-04-01,0.1030171510584605,2022-04-01,21919.222
2022-07-01,0.09645351973106209,2022-07-01,22066.784
2022-10-01,0.09694040560635594,2022-10-01,22249.459
2023-01-01,0.09043327403986401,2023-01-01,22403.435
2023-04-01,0.09046998195534545,2023-04-01,22539.418
2023-07-01,0.10743460089808171,2023-07-01,22780.933
2023-10-01,0.10014145913310996,2023-10-01,22960.6
2024-01-01,0.09440833276375045,2024-01-01,23053.545
2024-04-01,0.09409788846083056,2024-04-01,23223.906
2024-07-01,0.0877359654240722,2024-07-01,23400.294
2024-10-01,0.0906997376053808,2024-10-01,23542.349
2025-01-01,0.0840239615973688,2025-01-01,23526.085
